order_item_id,modifier_id,modifier_price
1,10,0.0
1,12,0.0
4,6,0.75
4,7,0.0
4,13,0.0
10,7,0.0
10,13,0.0
11,9,0.0
11,14,0.0
16,7,0.0
16,14,0.0
17,8,0.0
17,13,0.0
19,10,0.0
19,15,0.0
20,7,0.0
20,15,0.0
23,3,0.75
23,10,0.0
23,13,0.0
24,10,0.0
24,12,0.0
29,9,0.0
29,14,0.0
30,3,0.75
30,8,0.0
30,12,0.0
32,10,0.0
32,14,0.0
35,9,0.0
35,12,0.0
36,10,0.0
36,12,0.0
37,8,0.0
37,13,0.0
38,8,0.0
38,14,0.0
39,9,0.0
39,14,0.0
41,9,0.0
41,12,0.0
42,7,0.0
42,15,0.0
44,11,0.0
44,14,0.0
45,8,0.0
45,12,0.0
46,10,0.0
46,14,0.0
52,9,0.0
52,12,0.0
53,11,0.0
53,12,0.0
54,11,0.0
54,15,0.0
55,7,0.0
55,14,0.0
57,2,0.5
57,7,0.0
57,13,0.0
65,11,0.0
65,15,0.0
66,1,0.5
66,9,0.0
66,13,0.0
68,6,0.75
68,9,0.0
68,12,0.0
71,9,0.0
71,13,0.0
73,9,0.0
73,15,0.0
74,9,0.0
74,12,0.0
75,3,0.75
75,9,0.0
75,13,0.0
81,5,0.5
81,9,0.0
81,15,0.0
88,9,0.0
88,14,0.0
89,10,0.0
89,12,0.0
90,8,0.0
90,13,0.0
93,9,0.0
93,14,0.0
94,5,0.5
94,8,0.0
94,14,0.0
98,9,0.0
98,15,0.0
100,2,0.5
100,9,0.0
100,15,0.0
101,9,0.0
101,13,0.0
106,8,0.0
106,13,0.0
107,7,0.0
107,15,0.0
110,4,0.5
110,10,0.0
110,13,0.0
111,1,0.5
111,10,0.0
111,15,0.0
115,6,0.75
115,11,0.0
115,14,0.0
117,9,0.0
117,13,0.0
122,10,0.0
122,13,0.0
123,9,0.0
123,15,0.0
124,10,0.0
124,14,0.0
125,11,0.0
125,14,0.0
126,11,0.0
126,12,0.0
129,7,0.0
129,14,0.0
131,1,0.5
131,10,0.0
131,12,0.0
133,10,0.0
133,15,0.0
134,8,0.0
134,14,0.0
135,10,0.0
135,14,0.0
137,9,0.0
137,12,0.0
138,10,0.0
138,12,0.0
141,8,0.0
141,12,0.0
142,7,0.0
142,13,0.0
149,8,0.0
149,14,0.0
153,7,0.0
153,15,0.0
158,11,0.0
158,13,0.0
159,7,0.0
159,13,0.0
162,5,0.5
162,11,0.0
162,13,0.0
165,9,0.0
165,12,0.0
168,10,0.0
168,15,0.0
172,7,0.0
172,15,0.0
173,9,0.0
173,12,0.0
175,7,0.0
175,12,0.0
178,10,0.0
178,14,0.0
181,8,0.0
181,14,0.0
182,11,0.0
182,12,0.0
183,9,0.0
183,15,0.0
185,11,0.0
185,15,0.0
187,6,0.75
187,7,0.0
187,14,0.0
189,8,0.0
189,13,0.0
191,11,0.0
191,15,0.0
192,10,0.0
192,12,0.0
193,4,0.5
193,11,0.0
193,14,0.0
194,4,0.5
194,10,0.0
194,13,0.0
195,5,0.5
195,9,0.0
195,14,0.0
198,8,0.0
198,13,0.0
199,6,0.75
199,10,0.0
199,15,0.0
201,1,0.5
201,8,0.0
201,14,0.0
203,11,0.0
203,15,0.0
206,3,0.75
206,7,0.0
206,14,0.0
209,10,0.0
209,13,0.0
211,10,0.0
211,14,0.0
214,11,0.0
214,12,0.0
216,9,0.0
216,13,0.0
217,8,0.0
217,14,0.0
219,9,0.0
219,12,0.0
220,11,0.0
220,13,0.0
221,7,0.0
221,15,0.0
222,8,0.0
222,12,0.0
224,2,0.5
224,9,0.0
224,14,0.0
225,11,0.0
225,13,0.0
227,4,0.5
227,10,0.0
227,14,0.0
229,3,0.75
229,9,0.0
229,12,0.0
230,10,0.0
230,12,0.0
232,6,0.75
232,10,0.0
232,15,0.0
233,8,0.0
233,14,0.0
235,10,0.0
235,14,0.0
237,9,0.0
237,14,0.0
238,7,0.0
238,14,0.0
239,9,0.0
239,12,0.0
240,1,0.5
240,9,0.0
240,14,0.0
241,10,0.0
241,14,0.0
242,7,0.0
242,15,0.0
244,8,0.0
244,14,0.0
246,7,0.0
246,14,0.0
248,7,0.0
248,13,0.0
250,2,0.5
250,8,0.0
250,13,0.0
253,8,0.0
253,13,0.0
259,8,0.0
259,14,0.0
262,10,0.0
262,13,0.0
265,1,0.5
265,7,0.0
265,14,0.0
266,7,0.0
266,15,0.0
268,8,0.0
268,15,0.0
270,2,0.5
270,7,0.0
270,13,0.0
272,10,0.0
272,15,0.0
273,7,0.0
273,15,0.0
278,2,0.5
278,7,0.0
278,14,0.0
279,9,0.0
279,14,0.0
280,7,0.0
280,15,0.0
281,3,0.75
281,10,0.0
281,13,0.0
282,11,0.0
282,13,0.0
283,9,0.0
283,14,0.0
284,4,0.5
284,9,0.0
284,13,0.0
288,6,0.75
288,9,0.0
288,13,0.0
289,7,0.0
289,12,0.0
290,8,0.0
290,13,0.0
292,3,0.75
292,8,0.0
292,14,0.0
295,7,0.0
295,14,0.0
297,11,0.0
297,12,0.0
298,7,0.0
298,13,0.0
299,8,0.0
299,15,0.0
302,11,0.0
302,15,0.0
303,9,0.0
303,14,0.0
306,10,0.0
306,13,0.0
307,7,0.0
307,13,0.0
310,10,0.0
310,13,0.0
312,5,0.5
312,11,0.0
312,15,0.0
314,6,0.75
314,10,0.0
314,12,0.0
315,7,0.0
315,15,0.0
318,6,0.75
318,8,0.0
318,13,0.0
319,9,0.0
319,13,0.0
321,2,0.5
321,9,0.0
321,15,0.0
322,3,0.75
322,8,0.0
322,12,0.0
323,7,0.0
323,13,0.0
326,8,0.0
326,14,0.0
328,5,0.5
328,7,0.0
328,12,0.0
329,7,0.0
329,12,0.0
330,8,0.0
330,12,0.0
331,8,0.0
331,13,0.0
332,7,0.0
332,14,0.0
333,10,0.0
333,14,0.0
334,11,0.0
334,15,0.0
335,1,0.5
335,10,0.0
335,14,0.0
339,7,0.0
339,15,0.0
340,2,0.5
340,8,0.0
340,15,0.0
341,11,0.0
341,12,0.0
343,10,0.0
343,12,0.0
344,3,0.75
344,7,0.0
344,13,0.0
345,9,0.0
345,15,0.0
346,10,0.0
346,14,0.0
347,11,0.0
347,14,0.0
353,9,0.0
353,14,0.0
355,7,0.0
355,15,0.0
359,11,0.0
359,12,0.0
360,10,0.0
360,12,0.0
363,11,0.0
363,13,0.0
365,4,0.5
365,11,0.0
365,14,0.0
367,8,0.0
367,12,0.0
368,9,0.0
368,13,0.0
370,10,0.0
370,15,0.0
373,8,0.0
373,12,0.0
377,9,0.0
377,13,0.0
379,11,0.0
379,12,0.0
380,8,0.0
380,15,0.0
381,5,0.5
381,10,0.0
381,14,0.0
383,8,0.0
383,13,0.0
385,8,0.0
385,14,0.0
386,7,0.0
386,13,0.0
387,7,0.0
387,15,0.0
388,8,0.0
388,15,0.0
389,9,0.0
389,12,0.0
391,8,0.0
391,14,0.0
394,9,0.0
394,14,0.0
395,1,0.5
395,8,0.0
395,13,0.0
397,7,0.0
397,12,0.0
400,3,0.75
400,8,0.0
400,14,0.0
402,9,0.0
402,15,0.0
403,11,0.0
403,12,0.0
409,1,0.5
409,7,0.0
409,13,0.0
411,8,0.0
411,14,0.0
412,4,0.5
412,10,0.0
412,13,0.0
413,10,0.0
413,12,0.0
414,8,0.0
414,12,0.0
416,7,0.0
416,15,0.0
422,9,0.0
422,14,0.0
424,11,0.0
424,14,0.0
425,3,0.75
425,11,0.0
425,12,0.0
426,9,0.0
426,13,0.0
432,11,0.0
432,13,0.0
438,11,0.0
438,14,0.0
441,4,0.5
441,10,0.0
441,15,0.0
442,8,0.0
442,13,0.0
443,8,0.0
443,15,0.0
444,9,0.0
444,13,0.0
446,9,0.0
446,14,0.0
447,11,0.0
447,12,0.0
450,7,0.0
450,14,0.0
451,8,0.0
451,14,0.0
452,7,0.0
452,12,0.0
453,10,0.0
453,12,0.0
454,8,0.0
454,12,0.0
456,2,0.5
456,9,0.0
456,15,0.0
458,1,0.5
458,8,0.0
458,15,0.0
459,11,0.0
459,14,0.0
461,11,0.0
461,15,0.0
463,10,0.0
463,14,0.0
464,10,0.0
464,15,0.0
466,9,0.0
466,14,0.0
468,10,0.0
468,14,0.0
469,7,0.0
469,14,0.0
470,7,0.0
470,14,0.0
474,3,0.75
474,9,0.0
474,15,0.0
475,1,0.5
475,11,0.0
475,13,0.0
478,7,0.0
478,14,0.0
479,8,0.0
479,12,0.0
482,11,0.0
482,12,0.0
484,6,0.75
484,9,0.0
484,14,0.0
485,9,0.0
485,13,0.0
487,8,0.0
487,12,0.0
489,3,0.75
489,7,0.0
489,12,0.0
490,8,0.0
490,13,0.0
495,7,0.0
495,14,0.0
496,1,0.5
496,8,0.0
496,14,0.0
499,7,0.0
499,14,0.0
500,5,0.5
500,10,0.0
500,14,0.0
501,8,0.0
501,15,0.0
502,8,0.0
502,15,0.0
504,6,0.75
504,9,0.0
504,15,0.0
507,3,0.75
507,7,0.0
507,12,0.0
508,4,0.5
508,9,0.0
508,13,0.0
509,10,0.0
509,12,0.0
512,4,0.5
512,11,0.0
512,12,0.0
513,8,0.0
513,15,0.0
514,5,0.5
514,10,0.0
514,13,0.0
515,6,0.75
515,10,0.0
515,12,0.0
516,7,0.0
516,14,0.0
518,3,0.75
518,7,0.0
518,15,0.0
519,8,0.0
519,15,0.0
521,7,0.0
521,13,0.0
522,7,0.0
522,14,0.0
523,9,0.0
523,14,0.0
525,11,0.0
525,13,0.0
526,8,0.0
526,15,0.0
527,7,0.0
527,15,0.0
528,4,0.5
528,11,0.0
528,15,0.0
532,7,0.0
532,14,0.0
534,1,0.5
534,9,0.0
534,14,0.0
537,8,0.0
537,14,0.0
538,4,0.5
538,9,0.0
538,13,0.0
539,11,0.0
539,13,0.0
540,11,0.0
540,15,0.0
545,11,0.0
545,15,0.0
548,7,0.0
548,12,0.0
550,11,0.0
550,12,0.0
551,1,0.5
551,8,0.0
551,13,0.0
553,7,0.0
553,15,0.0
554,8,0.0
554,14,0.0
555,10,0.0
555,15,0.0
560,7,0.0
560,14,0.0
561,7,0.0
561,15,0.0
563,1,0.5
563,10,0.0
563,13,0.0
567,11,0.0
567,15,0.0
569,9,0.0
569,12,0.0
572,8,0.0
572,14,0.0
575,10,0.0
575,15,0.0
579,4,0.5
579,7,0.0
579,15,0.0
580,1,0.5
580,10,0.0
580,14,0.0
582,4,0.5
582,10,0.0
582,13,0.0
586,1,0.5
586,11,0.0
586,15,0.0
589,10,0.0
589,13,0.0
590,5,0.5
590,8,0.0
590,12,0.0
591,7,0.0
591,15,0.0
593,8,0.0
593,14,0.0
596,9,0.0
596,12,0.0
598,6,0.75
598,8,0.0
598,12,0.0
599,8,0.0
