order_id,employee_id,order_time,status,subtotal
1,2,2025-02-17 09:10:34,completed,5.25
2,3,2025-02-17 09:42:29,completed,10.0
3,2,2025-02-17 09:45:15,completed,12.5
4,3,2025-02-17 09:13:59,completed,4.75
5,3,2025-02-17 10:26:57,completed,17.25
6,5,2025-02-17 10:50:27,completed,10.25
7,3,2025-02-17 10:24:32,completed,5.5
8,4,2025-02-17 10:45:02,completed,13.25
9,5,2025-02-17 10:38:08,completed,6.25
10,5,2025-02-17 10:59:54,completed,17.5
11,3,2025-02-17 10:45:42,completed,18.75
12,3,2025-02-17 11:23:55,completed,30.0
13,2,2025-02-17 11:39:16,completed,13.25
14,2,2025-02-17 11:10:56,completed,5.25
15,4,2025-02-17 11:31:36,completed,5.5
16,3,2025-02-17 11:53:06,completed,7.0
17,5,2025-02-17 11:13:41,completed,13.25
18,5,2025-02-17 11:58:51,completed,9.5
19,4,2025-02-17 11:27:25,completed,11.5
20,5,2025-02-17 11:51:43,completed,6.5
21,3,2025-02-17 11:16:31,completed,6.25
22,4,2025-02-17 11:21:42,completed,5.75
23,3,2025-02-17 11:16:03,completed,11.5
24,2,2025-02-17 11:48:16,completed,11.0
25,2,2025-02-17 11:20:31,completed,4.75
26,3,2025-02-17 11:27:08,completed,11.25
27,4,2025-02-17 11:30:21,completed,13.5
28,3,2025-02-17 11:12:14,completed,4.75
29,2,2025-02-17 11:52:59,completed,11.75
30,4,2025-02-17 11:46:04,completed,6.5
31,2,2025-02-17 11:30:59,completed,21.75
32,4,2025-02-17 11:21:37,completed,5.75
33,4,2025-02-17 11:39:02,completed,18.75
34,2,2025-02-17 12:10:02,completed,10.75
35,2,2025-02-17 12:37:43,completed,13.0
36,2,2025-02-17 12:17:10,completed,5.0
37,2,2025-02-17 12:52:54,completed,12.5
38,3,2025-02-17 12:35:42,completed,6.0
39,4,2025-02-17 12:07:32,completed,14.0
40,5,2025-02-17 12:10:16,completed,18.5
41,2,2025-02-17 12:00:01,completed,5.5
42,2,2025-02-17 12:28:39,completed,11.5
43,4,2025-02-17 12:03:16,completed,14.0
44,5,2025-02-17 12:17:06,completed,18.75
45,5,2025-02-17 12:22:16,completed,22.5
46,5,2025-02-17 12:38:47,completed,8.0
47,3,2025-02-17 12:42:58,completed,6.5
48,4,2025-02-17 12:31:29,completed,11.25
49,2,2025-02-17 12:08:57,completed,7.0
50,2,2025-02-17 12:05:11,completed,32.25
51,4,2025-02-17 12:16:15,completed,17.5
52,2,2025-02-17 12:17:03,completed,6.25
53,4,2025-02-17 12:30:13,completed,11.0
54,5,2025-02-17 12:07:57,completed,7.0
55,3,2025-02-17 12:30:50,completed,13.0
56,4,2025-02-17 12:51:38,completed,16.5
